model,cv_MAE,cv_RMSE,cv_R2
RandomForest,43436122.798891455,87802692.41143522,0.8601695829989779
Ridge,69819609.26609081,104111801.83777206,0.7864193673865736
BaselineMean,176494171.68864608,239204192.5841995,-0.03789796829155012
